week	text
10	"Because they were examining 'actionable' features rather than characteristics a teacher can't do anything about, such as gender."
10	"Findings in our data and final model support existing theories / about indicators of college enrollment (academic achievement, / grades). More importantly, it further sheds light on behavioral / factors the student experiences in classrooms (which are more / frequently and in many ways more actionable than the behaviors / which result in disciplinary referrals). "
10	The authors believe they can detect earlier signs of eventual college interest than previous models.
10	Because it is right about 68% of the time.
10	Because it adds students' behavior in the classroom to the analysis. 
10	"They are looking at a better list of predictors, and they were able to 'prove' the impact of those predictors. Their accuracy of the algorithms they employed were also thought to be better, and allowed them to create more accurately predictions."
10	"It takes in affective variables such as boredom, rather than just tests."
10	Because they are using the ASSISTments system and multiple years of longitudinal data. Also their study group was larger and more varied. 
10	"Since there are increasing numbers of students are / using educational software at this phase of their education, and / detectors of specific aspects of student learning and engagement / have been developed for these types of learning environments"
10	It sheds light on behavioral factors the student experiences in classrooms (which are more frequently and in many ways more actionable than the behaviors which result in disciplinary referrals). 
10	The previous models are based on back when the educational software was not integrated into the education
10	they distill a range of features.
10	Because it is based at underlying concepts of school success and modelled by a especially designed software.
10	"This detects antecedent behaviors which affords early intervention to avoid disengagement, boredom, and diminished enrollment in college"
10	"The authors think their result not only support the existing theories about indicators of college enrollment but also tell us the importance of behavioral factors the student experiences in classrooms, which is more actionable!"
10	it may provide more actionable information than the previous generation
10	IT takes into account variables at an earlier age (middle school) and thus can predict dropout earlier. 
10	"Because their model can distinguish between a student who will attend college and a student who will not attend college at a much higher rate, about 70%. "
10	Their model provides more actionable information that can lead a direction of intervention.
10	Because the indicators of previous model may be late for school to make interventions. The results will only show up when they are done or at the end of the semester.
10	This model is statistically significantly better.
10	"Because of their ability to distinguish between a student who will attend college and a student who will not attend college 68.6% of the time. The prediction model was also able to point out the significant factors that drive college enrollment, which included confusion, boredom, and carelessness. These results are directly actionable as teachers can now predict potential disengagement and intervene before the situation worsens. "
